discipline_title,year,event_title,event_gender,medal_type,participant_type,country_name,season,max_elevation,min_elevation,elevation_span,climate_zone,avg_celsius,isocode,gdp_new
Curling,2022,Mixed Doubles,Mixed,GOLD,GameTeam,Italy,Winter,4810.0,-3.0,4813.0,CSA,14.47,ITA,2066972096553.7
Curling,2022,Mixed Doubles,Mixed,SILVER,GameTeam,Norway,Winter,2469.0,0.0,2469.0,DFC,5.03,NOR,593726965415.619
Curling,2022,Mixed Doubles,Mixed,BRONZE,GameTeam,Sweden,Winter,2097.0,-2.0,2099.0,DFB,7.25,SWE,590409594949.102
Curling,2022,Women,Women,GOLD,GameTeam,United Kingdom,Winter,1345.0,-4.0,1349.0,CFB,10.75,GBR,3088839763445.02
Curling,2022,Women,Women,SILVER,GameTeam,Japan,Winter,3776.0,-4.0,3780.0,DFB,15.19,JPN,4256410760723.75
Curling,2022,Women,Women,BRONZE,GameTeam,Sweden,Winter,2097.0,-2.0,2099.0,DFB,7.25,SWE,590409594949.102
Curling,2022,Men,Men,GOLD,GameTeam,Sweden,Winter,2097.0,-2.0,2099.0,DFB,7.25,SWE,590409594949.102
Curling,2022,Men,Men,SILVER,GameTeam,United Kingdom,Winter,1345.0,-4.0,1349.0,CFB,10.75,GBR,3088839763445.02
Curling,2022,Men,Men,BRONZE,GameTeam,Canada,Winter,5959.0,0.0,5959.0,DFC,2.09,CAN,2161483369422.01
Freestyle Skiing,2022,Men's Moguls,Men,SILVER,Athlete,Canada,Winter,5959.0,0.0,5959.0,DFC,2.09,CAN,2161483369422.01
Freestyle Skiing,2022,Men's Moguls,Men,GOLD,Athlete,Sweden,Winter,2097.0,-2.0,2099.0,DFB,7.25,SWE,590409594949.102
Freestyle Skiing,2022,Men's Moguls,Men,BRONZE,Athlete,Japan,Winter,3776.0,-4.0,3780.0,DFB,15.19,JPN,4256410760723.75
Freestyle Skiing,2022,Men's Freeski Halfpipe,Men,GOLD,Athlete,New Zealand,Winter,3724.0,-2.0,3726.0,CFB,13.07,NZL,246733522841.353
Freestyle Skiing,2022,Men's Freeski Halfpipe,Men,SILVER,Athlete,United States,Winter,6190.0,-85.5,6276.0,CFA,12.64,USA,25744108000000.0
Freestyle Skiing,2022,Men's Freeski Halfpipe,Men,BRONZE,Athlete,United States,Winter,6190.0,-85.5,6276.0,CFA,12.64,USA,25744108000000.0
Freestyle Skiing,2022,Men's Freeski Big Air,Men,BRONZE,Athlete,Sweden,Winter,2097.0,-2.0,2099.0,DFB,7.25,SWE,590409594949.102
Freestyle Skiing,2022,Men's Freeski Big Air,Men,GOLD,Athlete,Norway,Winter,2469.0,0.0,2469.0,DFC,5.03,NOR,593726965415.619
Freestyle Skiing,2022,Men's Freeski Big Air,Men,SILVER,Athlete,United States,Winter,6190.0,-85.5,6276.0,CFA,12.64,USA,25744108000000.0
Freestyle Skiing,2022,Men's Ski Cross,Men,BRONZE,Athlete,Taiwan,Winter,3952.0,0.0,3952.0,CWB,24.43,,
Freestyle Skiing,2022,Men's Ski Cross,Men,SILVER,Athlete,Switzerland,Winter,4634.0,193.0,4441.0,DFC,9.1,CHE,818426550206.45
Freestyle Skiing,2022,Men's Ski Cross,Men,GOLD,Athlete,Switzerland,Winter,4634.0,193.0,4441.0,DFC,9.1,CHE,818426550206.45
Freestyle Skiing,2022,Women's Freeski Big Air,Women,BRONZE,Athlete,Switzerland,Winter,4634.0,193.0,4441.0,DFC,9.1,CHE,818426550206.45
Freestyle Skiing,2022,Women's Freeski Big Air,Women,GOLD,Athlete,China,Winter,8849.0,-154.0,9.003,BSK,14.62,CHN,17881783387000.9
Freestyle Skiing,2022,Women's Freeski Big Air,Women,SILVER,Athlete,France,Winter,4810.0,-10.0,4820.0,CFB,12.44,FRA,2779092236505.85
Freestyle Skiing,2022,Women's Moguls,Women,SILVER,Athlete,United States,Winter,6190.0,-85.5,6276.0,CFA,12.64,USA,25744108000000.0
Freestyle Skiing,2022,Women's Moguls,Women,GOLD,Athlete,Australia,Winter,2228.0,-15.0,2243.0,BWH,20.37,AUS,1692956646855.7
Freestyle Skiing,2022,Women's Moguls,Women,BRONZE,Athlete,Taiwan,Winter,3952.0,0.0,3952.0,CWB,24.43,,
Freestyle Skiing,2022,Mixed Team Aerials,Mixed,GOLD,GameTeam,United States,Winter,6190.0,-85.5,6276.0,CFA,12.64,USA,25744108000000.0
Freestyle Skiing,2022,Mixed Team Aerials,Mixed,SILVER,GameTeam,China,Winter,8849.0,-154.0,9.003,BSK,14.62,CHN,17881783387000.9
Freestyle Skiing,2022,Mixed Team Aerials,Mixed,BRONZE,GameTeam,Canada,Winter,5959.0,0.0,5959.0,DFC,2.09,CAN,2161483369422.01
Freestyle Skiing,2022,Women's Ski Cross,Women,SILVER,Athlete,Canada,Winter,5959.0,0.0,5959.0,DFC,2.09,CAN,2161483369422.01
Freestyle Skiing,2022,Women's Ski Cross,Women,GOLD,Athlete,Sweden,Winter,2097.0,-2.0,2099.0,DFB,7.25,SWE,590409594949.102
Freestyle Skiing,2022,Women's Ski Cross,Women,BRONZE,Athlete,Germany,Winter,2962.0,-4.0,2966.0,CFB,10.68,DEU,4082469490797.68
Freestyle Skiing,2022,Men's Aerials,Men,BRONZE,Athlete,Taiwan,Winter,3952.0,0.0,3952.0,CWB,24.43,,
Freestyle Skiing,2022,Men's Aerials,Men,GOLD,Athlete,China,Winter,8849.0,-154.0,9.003,BSK,14.62,CHN,17881783387000.9
Freestyle Skiing,2022,Men's Aerials,Men,SILVER,Athlete,Ukraine,Winter,2061.0,-5.0,2066.0,DFB,11.38,UKR,161989520721.19
Freestyle Skiing,2022,Women's Aerials,Women,SILVER,Athlete,Belarus,Winter,346.0,90.0,256.0,DFB,8.66,BLR,73775179924.603
Freestyle Skiing,2022,Women's Aerials,Women,GOLD,Athlete,China,Winter,8849.0,-154.0,9.003,BSK,14.62,CHN,17881783387000.9
Freestyle Skiing,2022,Women's Aerials,Women,BRONZE,Athlete,United States,Winter,6190.0,-85.5,6276.0,CFA,12.64,USA,25744108000000.0
Freestyle Skiing,2022,Women's Freeski Halfpipe,Women,SILVER,Athlete,Canada,Winter,5959.0,0.0,5959.0,DFC,2.09,CAN,2161483369422.01
Freestyle Skiing,2022,Women's Freeski Halfpipe,Women,GOLD,Athlete,China,Winter,8849.0,-154.0,9.003,BSK,14.62,CHN,17881783387000.9
Freestyle Skiing,2022,Women's Freeski Halfpipe,Women,BRONZE,Athlete,Canada,Winter,5959.0,0.0,5959.0,DFC,2.09,CAN,2161483369422.01
Freestyle Skiing,2022,Women's Freeski Slopestyle,Women,SILVER,Athlete,China,Winter,8849.0,-154.0,9.003,BSK,14.62,CHN,17881783387000.9
Freestyle Skiing,2022,Women's Freeski Slopestyle,Women,GOLD,Athlete,Switzerland,Winter,4634.0,193.0,4441.0,DFC,9.1,CHE,818426550206.45
Freestyle Skiing,2022,Women's Freeski Slopestyle,Women,BRONZE,Athlete,Estonia,Winter,318.0,0.0,318.0,DFB,7.51,EST,37921480881.5429
Freestyle Skiing,2022,Men's Freeski Slopestyle,Men,SILVER,Athlete,United States,Winter,6190.0,-85.5,6276.0,CFA,12.64,USA,25744108000000.0
Freestyle Skiing,2022,Men's Freeski Slopestyle,Men,BRONZE,Athlete,Sweden,Winter,2097.0,-2.0,2099.0,DFB,7.25,SWE,590409594949.102
Freestyle Skiing,2022,Men's Freeski Slopestyle,Men,GOLD,Athlete,United States,Winter,6190.0,-85.5,6276.0,CFA,12.64,USA,25744108000000.0
Short Track Speed Skating,2022,Women's 500m,Women,SILVER,Athlete,Netherlands,Winter,887.0,-7.0,894.0,CFB,11.59,NLD,1009398719033.08
Short Track Speed Skating,2022,Women's 500m,Women,BRONZE,Athlete,Canada,Winter,5959.0,0.0,5959.0,DFC,2.09,CAN,2161483369422.01
Short Track Speed Skating,2022,Women's 500m,Women,GOLD,Athlete,Italy,Winter,4810.0,-3.0,4813.0,CSA,14.47,ITA,2066972096553.7
Short Track Speed Skating,2022,Men's 500m,Men,BRONZE,Athlete,Canada,Winter,5959.0,0.0,5959.0,DFC,2.09,CAN,2161483369422.01
Short Track Speed Skating,2022,Men's 500m,Men,GOLD,Athlete,Hungary,Winter,1014.0,76.0,938.0,CFB,13.04,HUN,177006128624.627
Short Track Speed Skating,2022,Men's 500m,Men,SILVER,Athlete,Taiwan,Winter,3952.0,0.0,3952.0,CWB,24.43,,
Short Track Speed Skating,2022,Men's 5000m Relay,Men,GOLD,GameTeam,Canada,Winter,5959.0,0.0,5959.0,DFC,2.09,CAN,2161483369422.01
Short Track Speed Skating,2022,Men's 5000m Relay,Men,SILVER,GameTeam,South Korea,Winter,1947.0,0.0,1947.0,DWB,13.6,KOR,1673916511799.71
Short Track Speed Skating,2022,Men's 5000m Relay,Men,BRONZE,GameTeam,Italy,Winter,4810.0,-3.0,4813.0,CSA,14.47,ITA,2066972096553.7
Short Track Speed Skating,2022,Team Relay,Mixed,GOLD,GameTeam,China,Winter,8849.0,-154.0,9.003,BSK,14.62,CHN,17881783387000.9
Short Track Speed Skating,2022,Team Relay,Mixed,SILVER,GameTeam,Italy,Winter,4810.0,-3.0,4813.0,CSA,14.47,ITA,2066972096553.7
Short Track Speed Skating,2022,Team Relay,Mixed,BRONZE,GameTeam,Hungary,Winter,1014.0,76.0,938.0,CFB,13.04,HUN,177006128624.627
Short Track Speed Skating,2022,Men's 1500m,Men,BRONZE,Athlete,Taiwan,Winter,3952.0,0.0,3952.0,CWB,24.43,,
Short Track Speed Skating,2022,Men's 1500m,Men,GOLD,Athlete,South Korea,Winter,1947.0,0.0,1947.0,DWB,13.6,KOR,1673916511799.71
Short Track Speed Skating,2022,Men's 1500m,Men,SILVER,Athlete,Canada,Winter,5959.0,0.0,5959.0,DFC,2.09,CAN,2161483369422.01
Short Track Speed Skating,2022,Men's 1000m,Men,GOLD,Athlete,China,Winter,8849.0,-154.0,9.003,BSK,14.62,CHN,17881783387000.9
Short Track Speed Skating,2022,Men's 1000m,Men,SILVER,Athlete,China,Winter,8849.0,-154.0,9.003,BSK,14.62,CHN,17881783387000.9
Short Track Speed Skating,2022,Men's 1000m,Men,BRONZE,Athlete,Hungary,Winter,1014.0,76.0,938.0,CFB,13.04,HUN,177006128624.627
Short Track Speed Skating,2022,Women's 3000m Relay,Women,GOLD,GameTeam,Netherlands,Winter,887.0,-7.0,894.0,CFB,11.59,NLD,1009398719033.08
Short Track Speed Skating,2022,Women's 3000m Relay,Women,SILVER,GameTeam,South Korea,Winter,1947.0,0.0,1947.0,DWB,13.6,KOR,1673916511799.71
Short Track Speed Skating,2022,Women's 3000m Relay,Women,BRONZE,GameTeam,China,Winter,8849.0,-154.0,9.003,BSK,14.62,CHN,17881783387000.9
Short Track Speed Skating,2022,Women's 1000m,Women,GOLD,Athlete,Netherlands,Winter,887.0,-7.0,894.0,CFB,11.59,NLD,1009398719033.08
Short Track Speed Skating,2022,Women's 1000m,Women,SILVER,Athlete,South Korea,Winter,1947.0,0.0,1947.0,DWB,13.6,KOR,1673916511799.71
Short Track Speed Skating,2022,Women's 1000m,Women,BRONZE,Athlete,Belgium,Winter,694.0,-4.0,698.0,CFB,11.41,BEL,583613982019.263
Short Track Speed Skating,2022,Women's 1500m,Women,GOLD,Athlete,South Korea,Winter,1947.0,0.0,1947.0,DWB,13.6,KOR,1673916511799.71
Short Track Speed Skating,2022,Women's 1500m,Women,BRONZE,Athlete,Netherlands,Winter,887.0,-7.0,894.0,CFB,11.59,NLD,1009398719033.08
Short Track Speed Skating,2022,Women's 1500m,Women,SILVER,Athlete,Italy,Winter,4810.0,-3.0,4813.0,CSA,14.47,ITA,2066972096553.7
Snowboard,2022,Women's Snowboard Halfpipe,Women,SILVER,Athlete,Spain,Winter,3715.0,0.0,3715.0,CSA,16.61,ESP,1417800466262.65
Snowboard,2022,Women's Snowboard Halfpipe,Women,BRONZE,Athlete,Japan,Winter,3776.0,-4.0,3780.0,DFB,15.19,JPN,4256410760723.75
Snowboard,2022,Women's Snowboard Halfpipe,Women,GOLD,Athlete,United States,Winter,6190.0,-85.5,6276.0,CFA,12.64,USA,25744108000000.0
Snowboard,2022,Mixed Team Snowboard Cross,Mixed,GOLD,GameTeam,United States,Winter,6190.0,-85.5,6276.0,CFA,12.64,USA,25744108000000.0
Snowboard,2022,Mixed Team Snowboard Cross,Mixed,SILVER,GameTeam,Italy,Winter,4810.0,-3.0,4813.0,CSA,14.47,ITA,2066972096553.7
Snowboard,2022,Mixed Team Snowboard Cross,Mixed,BRONZE,GameTeam,Canada,Winter,5959.0,0.0,5959.0,DFC,2.09,CAN,2161483369422.01
Snowboard,2022,Women's Snowboard Cross,Women,BRONZE,Athlete,Canada,Winter,5959.0,0.0,5959.0,DFC,2.09,CAN,2161483369422.01
Snowboard,2022,Women's Snowboard Cross,Women,SILVER,Athlete,France,Winter,4810.0,-10.0,4820.0,CFB,12.44,FRA,2779092236505.85
Snowboard,2022,Women's Snowboard Cross,Women,GOLD,Athlete,United States,Winter,6190.0,-85.5,6276.0,CFA,12.64,USA,25744108000000.0
Snowboard,2022,Men's Parallel Giant Slalom,Men,SILVER,Athlete,Slovenia,Winter,2864.0,0.0,2864.0,CFB,11.8,SVN,60063475466.3446
Snowboard,2022,Men's Parallel Giant Slalom,Men,GOLD,Athlete,Austria,Winter,3798.0,115.0,3683.0,DFB,8.82,AUT,470941926750.741
Snowboard,2022,Men's Parallel Giant Slalom,Men,BRONZE,Athlete,Taiwan,Winter,3952.0,0.0,3952.0,CWB,24.43,,
Snowboard,2022,Women's Snowboard Big Air,Women,BRONZE,Athlete,Japan,Winter,3776.0,-4.0,3780.0,DFB,15.19,JPN,4256410760723.75
Snowboard,2022,Women's Snowboard Big Air,Women,SILVER,Athlete,New Zealand,Winter,3724.0,-2.0,3726.0,CFB,13.07,NZL,246733522841.353
Snowboard,2022,Women's Snowboard Big Air,Women,GOLD,Athlete,Austria,Winter,3798.0,115.0,3683.0,DFB,8.82,AUT,470941926750.741
Snowboard,2022,Men's Snowboard Cross,Men,BRONZE,Athlete,Italy,Winter,4810.0,-3.0,4813.0,CSA,14.47,ITA,2066972096553.7
Snowboard,2022,Men's Snowboard Cross,Men,SILVER,Athlete,Canada,Winter,5959.0,0.0,5959.0,DFC,2.09,CAN,2161483369422.01
Snowboard,2022,Men's Snowboard Cross,Men,GOLD,Athlete,Austria,Winter,3798.0,115.0,3683.0,DFB,8.82,AUT,470941926750.741
Snowboard,2022,Men's Snowboard Slopestyle,Men,GOLD,Athlete,Canada,Winter,5959.0,0.0,5959.0,DFC,2.09,CAN,2161483369422.01
Snowboard,2022,Men's Snowboard Slopestyle,Men,SILVER,Athlete,China,Winter,8849.0,-154.0,9.003,BSK,14.62,CHN,17881783387000.9
Snowboard,2022,Men's Snowboard Slopestyle,Men,BRONZE,Athlete,Canada,Winter,5959.0,0.0,5959.0,DFC,2.09,CAN,2161483369422.01
Snowboard,2022,Men's Snowboard Halfpipe,Men,BRONZE,Athlete,Switzerland,Winter,4634.0,193.0,4441.0,DFC,9.1,CHE,818426550206.45
Snowboard,2022,Men's Snowboard Halfpipe,Men,GOLD,Athlete,Japan,Winter,3776.0,-4.0,3780.0,DFB,15.19,JPN,4256410760723.75
Snowboard,2022,Men's Snowboard Halfpipe,Men,SILVER,Athlete,Australia,Winter,2228.0,-15.0,2243.0,BWH,20.37,AUS,1692956646855.7
Snowboard,2022,Women's Snowboard Slopestyle,Women,BRONZE,Athlete,Australia,Winter,2228.0,-15.0,2243.0,BWH,20.37,AUS,1692956646855.7
Snowboard,2022,Women's Snowboard Slopestyle,Women,SILVER,Athlete,United States,Winter,6190.0,-85.5,6276.0,CFA,12.64,USA,25744108000000.0
Snowboard,2022,Women's Snowboard Slopestyle,Women,GOLD,Athlete,New Zealand,Winter,3724.0,-2.0,3726.0,CFB,13.07,NZL,246733522841.353
Snowboard,2022,Women's Parallel Giant Slalom,Women,SILVER,Athlete,Austria,Winter,3798.0,115.0,3683.0,DFB,8.82,AUT,470941926750.741
Snowboard,2022,Women's Parallel Giant Slalom,Women,GOLD,Athlete,Czech Republic,Winter,1603.0,115.0,1487.0,CFB,10.07,CZE,290565654835.809
Snowboard,2022,Women's Parallel Giant Slalom,Women,BRONZE,Athlete,Slovenia,Winter,2864.0,0.0,2864.0,CFB,11.8,SVN,60063475466.3446
Snowboard,2022,Men's Snowboard Big Air,Men,SILVER,Athlete,Norway,Winter,2469.0,0.0,2469.0,DFC,5.03,NOR,593726965415.619
Snowboard,2022,Men's Snowboard Big Air,Men,GOLD,Athlete,China,Winter,8849.0,-154.0,9.003,BSK,14.62,CHN,17881783387000.9
Snowboard,2022,Men's Snowboard Big Air,Men,BRONZE,Athlete,Canada,Winter,5959.0,0.0,5959.0,DFC,2.09,CAN,2161483369422.01
Ski Jumping,2022,Men's Team,Men,GOLD,GameTeam,Austria,Winter,3798.0,115.0,3683.0,DFB,8.82,AUT,470941926750.741
Ski Jumping,2022,Men's Team,Men,SILVER,GameTeam,Slovenia,Winter,2864.0,0.0,2864.0,CFB,11.8,SVN,60063475466.3446
Ski Jumping,2022,Men's Team,Men,BRONZE,GameTeam,Germany,Winter,2962.0,-4.0,2966.0,CFB,10.68,DEU,4082469490797.68
Ski Jumping,2022,Men's LH Individual,Men,GOLD,Athlete,Norway,Winter,2469.0,0.0,2469.0,DFC,5.03,NOR,593726965415.619
Ski Jumping,2022,Men's LH Individual,Men,SILVER,Athlete,Japan,Winter,3776.0,-4.0,3780.0,DFB,15.19,JPN,4256410760723.75
Ski Jumping,2022,Men's LH Individual,Men,BRONZE,Athlete,Germany,Winter,2962.0,-4.0,2966.0,CFB,10.68,DEU,4082469490797.68
Ski Jumping,2022,Mixed Team,Mixed,GOLD,GameTeam,Slovenia,Winter,2864.0,0.0,2864.0,CFB,11.8,SVN,60063475466.3446
Ski Jumping,2022,Mixed Team,Mixed,SILVER,GameTeam,Taiwan,Winter,3952.0,0.0,3952.0,CWB,24.43,,
Ski Jumping,2022,Mixed Team,Mixed,BRONZE,GameTeam,Canada,Winter,5959.0,0.0,5959.0,DFC,2.09,CAN,2161483369422.01
Ski Jumping,2022,Women's NH Individual,Women,SILVER,Athlete,Germany,Winter,2962.0,-4.0,2966.0,CFB,10.68,DEU,4082469490797.68
Ski Jumping,2022,Women's NH Individual,Women,GOLD,Athlete,Slovenia,Winter,2864.0,0.0,2864.0,CFB,11.8,SVN,60063475466.3446
Ski Jumping,2022,Women's NH Individual,Women,BRONZE,Athlete,Slovenia,Winter,2864.0,0.0,2864.0,CFB,11.8,SVN,60063475466.3446
